id,Datum,Z1,Z2,Z3,Z4,Z5,EZ1,EZ2
576,2022-09-27,15,23,26,31,44,1,8
577,2022-09-30,8,12,15,17,46,1,8
578,2022-10-04,17,42,43,48,49,3,7
579,2022-10-07,16,17,26,30,35,3,9
580,2022-10-11,7,35,36,39,47,3,8
581,2022-10-14,3,5,8,10,44,7,12
582,2022-10-18,13,18,24,34,50,5,6
583,2022-10-21,2,11,18,47,49,2,7
584,2022-10-25,17,26,35,37,39,3,4
585,2022-10-28,4,5,21,30,43,5,11
586,2022-11-01,18,32,39,42,44,4,7
587,2022-11-04,7,9,40,48,49,7,8
588,2022-11-08,15,17,23,35,38,4,9
589,2022-11-11,11,15,24,28,41,3,12
590,2022-11-15,1,7,11,33,48,9,12
591,2022-11-18,13,14,25,28,42,11,12
592,2022-11-22,11,20,23,37,46,9,11
593,2022-11-25,4,6,8,42,48,6,11
594,2022-11-29,9,16,32,37,46,7,12
595,2022-12-02,6,12,25,48,49,11,12
596,2022-12-06,8,12,37,44,47,7,10
597,2022-12-09,6,8,13,21,32,3,6
598,2022-12-13,3,13,33,36,47,3,11
599,2022-12-16,9,14,15,20,47,8,12
